src_ip,dst_ip,src_port,dst_port,protocol,packet_count,flow_duration,total_bytes,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,large_packet_ratio,mean_iat,std_iat,max_iat,burst_density,mean_burst_time,std_burst_time,idle_ratio,mean_idle_time,std_idle_time
150.96.198.114,220.152.228.151,443,62028,6,4970,2.7273030281066895,31036985,6244.866197183099,4791.37678020667,40.0,23400.0,0.9851106639839035,0.0005488635596914247,0.004366944242850655,0.05546116828918457,11616321.254057553,1.3359209299087524,0.0,0.020335528315736047,0.05546116828918457,0.0
14.56.9.190,163.172.78.89,64076,59277,17,1574,16.9788761138916,1093829,694.9358322744599,480.8216380300266,58.0,1238.0,0.11626429479034307,0.010793945399803943,0.013935915032017047,0.06732320785522461,67608.33735188762,1.0111816227436066,0.0,0.04711560986205532,0.05333134333292643,0.004499161392478713
157.154.182.11,147.45.135.137,443,58444,6,1932,16.972764015197754,6695460,3465.55900621118,1708.4029167679892,1500.0,14640.0,1.0,0.008789624036870924,0.016699897859952722,0.1124570369720459,643115.3063794863,0.10516139473577943,0.0,0.3866067744695714,0.06695699935056726,0.011495520158930472
126.183.196.75,133.244.180.236,50067,48246,17,369,16.549715995788574,141276,382.8617886178862,463.4576248779444,65.0,1460.0,0.16531165311653118,0.044972054336381996,0.17097130440838718,1.0630509853363037,42860.29015130527,0.17348404934531764,0.0,0.8008305556886669,0.7363066143459744,0.24344560600757317
101.145.65.168,157.154.163.246,59166,443,17,28285,17.00214195251465,3590552,126.94191267456249,49.45966034203912,118.0,1456.0,0.0011313417005479936,0.0006011222582560687,0.0017051756764869279,0.05999398231506348,212562.31210713703,5.630587021509807,0.0,0.006492175033083341,0.055190443992614746,0.0048035383224487305
150.96.52.0,170.133.195.113,56839,8801,17,298,16.94079899787903,20257,67.97651006711409,28.795205811962074,55.0,151.0,0.0,0.057039727265585954,0.1493723426103569,2.096679925918579,1522.2467083055287,4.4357677300771075,0.0,0.2144819493827101,1.8167479038238525,0.27993202209472656
169.232.206.162,163.172.61.177,443,34466,6,40,0.17232203483581543,60901,1522.525,434.899700362049,603.0,2772.0,0.975,0.004418513713738857,0.008598661246968509,0.04627799987792969,353411.8352663924,0.17232203483581543,0.0,0.0,0.0,0.0
115.188.1.126,157.154.61.198,443,65239,6,26354,17.001754999160767,128270761,4867.221712074069,3161.446129701748,63.0,17560.0,0.995750170752068,0.0006451544415877041,0.0016631100956823696,0.056268930435180664,7617691.213081938,4.209633529186249,0.0,0.009600236729890037,0.054406960805257164,0.0020874953084898903
163.172.63.242,170.133.203.200,58135,8801,17,64,16.65219807624817,11088,173.25,31.738186778705554,109.0,208.0,0.0,0.2643206043848916,0.10459690664795462,0.33205413818359375,665.8580016506857,16.65219807624817,0.0,0.0,0.0,0.0
60.135.161.123,133.244.50.74,61965,443,17,1070,16.99502205848694,344510,321.97196261682245,125.43748176174287,153.0,1385.0,0.001869158878504673,0.015898056181933524,0.014637133067165806,0.12489485740661621,23742.040926215952,0.4267807637943941,0.0,0.14618845063801467,0.07528715422659209,0.020159174973787993
182.62.218.189,150.96.198.114,62047,443,6,3387,16.97737407684326,156908,46.32654266312371,7.3571594813934515,40.0,76.0,0.0,0.005013991162682594,0.015699668205635137,0.10101890563964844,14958.848816750875,0.12637721486838469,0.0,0.38215950424614825,0.07912274686301626,0.021788781961000488
150.96.241.42,52.124.12.184,50034,443,6,1846,17.001790046691895,947718,513.3900325027086,490.99700522737663,40.0,9361.0,0.03629469122426869,0.009215062355930566,0.014469625405098264,0.07070207595825195,65012.69934752351,0.3390099503273188,0.0,0.14259451701054196,0.05772290910993304,0.005548170022740202
